Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,population,Employment rate
Uruguay,Latin America and Caribbean,6.440100193,9.948192596,0.92281127,69.00254822,0.892395437,0.05911156133612085,0.635994136,3473.73,92.7
Saudi Arabia,Middle East and North Africa,6.406499863,10.79781246,0.874067068,66.30514526,0.854191244,0.03270548539186477,0.682619512,34813.871,94.2
Spain,Western Europe,6.400899887,10.46292686,0.921125412,74.40270996,0.751989543,0.07771252782899067,0.765859902,46754.778,82.9
Guatemala,Latin America and Caribbean,6.398900032,8.924805641,0.816621482,64.8089447,0.908147573,0.08061627330647773,0.783237457,17915.568,97.7
Italy,Western Europe,6.38740015,10.48183632,0.889878571,73.60168457,0.66465199,0.0804278170505276,0.873404682,60461.826,88.9
Singapore,Southeast Asia,6.377099991,11.39552116,0.910268962,76.80458069,0.926645339,0.10611932766207763,0.109784193,5850.342,97.8
Brazil,Latin America and Caribbean,6.375599861,9.56643486,0.896723807,66.48016357,0.799804807,0.058842640212274644,0.770601273,212559.417,88.2
Slovenia,Central and Eastern Europe,6.363399982,10.39232254,0.939575672,71.1029892,0.936142623,0.06681286991599719,0.817071021,2078.938,93.4
El Salvador,Latin America and Caribbean,6.34829998,8.909075737,0.806092262,66.10826111,0.833805263,0.051475660902608564,0.754319906,6486.205,93
Kosovo,Central and Eastern Europe,6.325200081,9.204429626,0.820726514,63.88555527,0.861535907,0.15771180391932935,0.922328293,0,0
Panama,Latin America and Caribbean,6.304800034,10.03423405,0.902094483,69.60301208,0.880366504,0.03861326245355887,0.851588905,4314.767,94.5
Slovakia,Central and Eastern Europe,6.280600071,10.34774971,0.922493756,68.90634155,0.749952674,0.05018675475875546,0.918096125,5459.642,91.9
Uzbekistan,Commonwealth of Independent States,6.257599831,8.740371704,0.926595807,65.10757446,0.974998116,0.17473922553533372,0.501497388,33469.203,95.1
Chile,Latin America and Caribbean,6.228499889,10.0320549,0.879713595,69.90061951,0.744896293,0.07233887400351914,0.838239431,19116.201,93
Bahrain,Middle East and North Africa,6.227300167,10.67638016,0.876342118,68.5,0.905855775,0.14008030694734602,0.7393471,1701.575,96.2
Lithuania,Central and Eastern Europe,6.215499878,10.34362602,0.926107109,67.29407501,0.747381449,0.01164869159262317,0.809583843,2722.289,93
